"Gene Map Search - 'heart, ion channels, Coronary, Cardiac, cardiomyopathy, Myocardial'"										
Downloaded:	"Jan 12, 2016"									
"Copyright (c) 1966-2015 Johns Hopkins University OMIM, data are provided for research purposes only."										
Cytogenetic location	Genomic coordinates (From NCBI/GRCh38)	Gene/Locus	Gene/Locus name	Gene/Locus MIM number	Comments	Phenotype	Phenotype MIM number	Inheritance (in progress)	Pheno map key	Mouse Gene (from MGI)
7q36.1	7:150991055-151014598	NOS3	"Nitric oxide synthase 3, endothelial cell"	163729		"{Ischemic stroke, susceptibility to}"	601367	Multifactorial	3	Nos3
7q36.1	7:150991055-151014598	NOS3	"Nitric oxide synthase 3, endothelial cell"	163729		"{Hypertension, susceptibility to}"	145500	Multifactorial	3	Nos3
7q36.1	7:151048291-151052755	"ACCN3, ASIC3, TNAC1, DRASIC"	"Cation channel, amiloride-sensitive, neuronal 3"	611741					Asic3	
7q36.1	7:151556113-151877230	"PRKAG2, WPWS, CMH6"	"Protein kinase, AMP-activated, noncatalytic, gamma-2"	602743		Wolff-Parkinson-White syndrome	194200	?Autosomal dominant	3	Prkag2
7q36.1	7:151556113-151877230	"PRKAG2, WPWS, CMH6"	"Protein kinase, AMP-activated, noncatalytic, gamma-2"	602743		"Glycogen storage disease of heart, lethal congenital"	261740	Autosomal dominant	3	Prkag2
7q36.1	7:151556113-151877230	"PRKAG2, WPWS, CMH6"	"Protein kinase, AMP-activated, noncatalytic, gamma-2"	602743		"Cardiomyopathy, hypertrophic 6"	600858	Autosomal dominant	3	Prkag2
8p23.1	8:11676923-11760000	"GATA4, ASD2, VSD1, TACHD, TOF"	GATA-binding protein-4	600576	mutations identified in 1 TACHD family	Ventricular septal defect 1	614429	Autosomal dominant	3	Gata4
8p23.1	8:11676923-11760000	"GATA4, ASD2, VSD1, TACHD, TOF"	GATA-binding protein-4	600576	mutations identified in 1 TACHD family	Tetralogy of Fallot	187500	Autosomal dominant	3	Gata4
8p23.1	8:11676923-11760000	"GATA4, ASD2, VSD1, TACHD, TOF"	GATA-binding protein-4	600576	mutations identified in 1 TACHD family	Atrioventricular septal defect 4	614430	Autosomal dominant	3	Gata4
8p23.1	8:11676923-11760000	"GATA4, ASD2, VSD1, TACHD, TOF"	GATA-binding protein-4	600576	mutations identified in 1 TACHD family	Atrial septal defect 2	607941	Autosomal dominant	3	Gata4
8p23.1	8:11676923-11760000	"GATA4, ASD2, VSD1, TACHD, TOF"	GATA-binding protein-4	600576	mutations identified in 1 TACHD family	?Testicular anomalies with or without congenital heart disease	615542	Autosomal dominant	3	Gata4
8p22	8:12800000-19200000	CHDS9	"Coronary heart disease, susceptibility to, 9"	612030	max lod at D8S1106	"{Coronary heart disease, susceptibility to, 9}"	612030		2	
8p21.2	8:23702450-23706597	"NKX2-6, CSX2, CTHM"	"NK2, Drosophila, homolog of, 6"	611770		Persistent truncus arteriosus	217095		3	Nkx2-6
8p21.2	8:23702450-23706597	"NKX2-6, CSX2, CTHM"	"NK2, Drosophila, homolog of, 6"	611770		Conotruncal heart malformations	217095		3	Nkx2-6
8p11.23	8:36784323-36936124	"KCNU1, SLO3"	"Potassium channel, subfamily U, member 1"	615215					Kcnu1	
8p11.21	8:42391623-42405936	VDAC3	Voltage-dependent anion channel 3	610029					Vdac3	
8q21.11	8:72021250-72090008	"TRPA1, ANKTM1, FEPS"	"Transient receptor potential cation channel, subfamily A, member 1 (ankyrin-like protein with transmembrane domains 1)"	604775		"Episodic pain syndrome, familial"	615040	Autosomal dominant	3	Trpa1
8q21.11	8:72537390-72938348	"KCNB2, KV2.2"	"Potassium channel, voltage-gated, shab-related subfamily, member 2"	607738					Kcnb2	
8q21.3	8:86573842-86743674	"CNGB3, ACHM3, ACHM1"	"Cyclic nucleotide-gated channel, beta-3"	605080		Achromatopsia-3	262300	Autosomal recessive	3	Cngb3
8q21.3	8:86573842-86743674	"CNGB3, ACHM3, ACHM1"	"Cyclic nucleotide-gated channel, beta-3"	605080		"Macular degeneration, juvenile"	248200	Autosomal recessive	3	Cngb3
8q22.2	8:98427021-98430796	KCNS2	"Potassium voltage-gated channel, delayed-rectifier, subfamily S, member-2"	602906					Kcns2	
8q23.2	8:109963635-109975733	"KCNV1, KV8.1"	"Potassium channel, voltage-gated, subfamily V, member 1"	608164					Kcnv1	
8q24.22	8:132120857-132480756	"KCNQ3, EBN2, BFNC2"	"Potassium voltage-gated channel, KQT-like subfamily, member 3"	602232		"Seizures, benign neonatal, type 2"	121201	Autosomal dominant	3	Kcnq3
8q24.3	8:139600837-139703067	"KCNK9, TASK3"	"Potassium channel, subfamily K, member 9"	605874		Birk-Barel mental retardation dysmorphism syndrome	612292		3	Kcnk9
9p24.2	9:2717238-2730036	"KCNV2, KV11.1, RCD3B"	"Potassium channel, voltage-gated, subfamily V, member 2"	607604		Retinal cone dystrophy 3B	610356	Autosomal recessive	3	Kcnv2
9p21	9:19900000-33200000	CHDS8	"Coronary heart disease, susceptibility to, 8"	611139	strongest linkage with dbSNP rs1333049	"{Coronary heart disease, susceptibility to, 8}"	611139		2	
9q13	9:61500000-65000000	"CMD1B, CMPD1, FDC"	"Cardiomyopathy, dilated-1B, autosomal dominant"	600884		"Cardiomyopathy, dilated 1B"	600884	Autosomal dominant	2	
9q21.12-q21.13	9:70529062-71446923	"TRPM3, MLSN2, LTRPC3, KIAA1616"	"Transient receptor potential cation channel, subfamily M, member 3"	608961					Trpm3	
9q21.13	9:72521800-72836350	"TMC1, DFNB7, DFNB11, DFNA36"	Transmembrane channel-like protein 1	606706		"Deafness, autosomal recessive 7"	600974	Autosomal recessive	3	Tmc1
9q21.13	9:72521800-72836350	"TMC1, DFNB7, DFNB11, DFNA36"	Transmembrane channel-like protein 1	606706		"Deafness, autosomal dominant 36"	606705	Autosomal dominant	3	Tmc1
9q21.13	9:74722494-74888093	"TRPM6, CHAK2, HOMG1"	"Transient receptor potential cation channel, subfamily M, member 6"	607009		"Hypomagnesemia 1, intestinal"	602014	Autosomal recessive	3	Trpm6
9q31.1	9:99800000-105400000	CHDT3	"Congenital heart defects, multiple types, 3"	614954	max lod at D9S1690	"Congenital heart defects, multiple types, 3"	614954	Autosomal dominant	2	
9q31.1	9:104781001-104928245	"ABCA1, ABC1, HDLDT1, TGD"	ATP-binding cassette 1	600046		"HDL deficiency, type 2"	604091		3	Abca1
9q31.1	9:104781001-104928245	"ABCA1, ABC1, HDLDT1, TGD"	ATP-binding cassette 1	600046		"{Coronary artery disease in familial hypercholesterolemia, protection against}"	143890	Autosomal dominant	3	Abca1
9q31.1	9:104781001-104928245	"ABCA1, ABC1, HDLDT1, TGD"	ATP-binding cassette 1	600046		Tangier disease	205400	Autosomal recessive	3	Abca1
9q31.2	9:105558118-105641117	"FKTN, FCMD, CMD1X, LGMD2M, MDDGA4, MDDGB4, MDDGC4"	Fukutin	607440		"Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 4"	253800	Autosomal recessive	3	Fktn
9q31.2	9:105558118-105641117	"FKTN, FCMD, CMD1X, LGMD2M, MDDGA4, MDDGB4, MDDGC4"	Fukutin	607440		"Cardiomyopathy, dilated, 1X"	611615	Autosomal recessive	3	Fktn
9q31.2	9:105558118-105641117	"FKTN, FCMD, CMD1X, LGMD2M, MDDGA4, MDDGB4, MDDGC4"	Fukutin	607440		"Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 4"	611588	Autosomal recessive	3	Fktn
9q31.2	9:105558118-105641117	"FKTN, FCMD, CMD1X, LGMD2M, MDDGA4, MDDGB4, MDDGC4"	Fukutin	607440		"Muscular dystrophy-dystroglycanopathy (congenital without mental retardation), type B, 4"	613152	Autosomal recessive	3	Fktn
9q34.3	9:135702184-135793146	"KCNT1, KIAA1422, EIEE14, ENFL5"	"Potassium channel, subfamily T, member 1"	608167		"Epileptic encephalopathy, early infantile, 14"	614959	Autosomal dominant	3	Kcnt1
9q34.3	9:135702184-135793146	"KCNT1, KIAA1422, EIEE14, ENFL5"	"Potassium channel, subfamily T, member 1"	608167		"Epilepsy, nocturnal frontal lobe, 5"	615005	Autosomal dominant	3	Kcnt1
9q34.3	9:136994607-136996571	CLIC3	Chloride intracellular channel 3	606533					Clic3	
9q34.3	9:137877788-138124623	"CACNA1B, CACNL1A5, DYT23"	"Calcium channel, voltage-dependent, L type, alpha 1B subunit"	601012	mutation identified in 1 DYT23 family	?Dystonia 23	614860	Autosomal dominant	3	Cacna1b
10p12.33-p12.31	10:18140676-18541758	CACNB2	"Calcium channel, voltage-dependent, beta 2 subunit"	600003		Brugada syndrome 4	611876		3	Cacnb2
10p12.1	10:24981978-25062278	"ENKUR, C10orf63"	"Enkurin, TRPC channel-interacting protein"	611025					Enkur	
10q21.3	10:68106116-68212016	"MYPN, CMD1DD, CMH22, RCM4"	Myopalladin	608517		"Cardiomyopathy, hypertrophic, 22"	615248	Autosomal dominant	3	Mypn
10q21.3	10:68106116-68212016	"MYPN, CMD1DD, CMH22, RCM4"	Myopalladin	608517		"Cardiomyopathy, familial restrictive, 4"	615248	Autosomal dominant	3	Mypn
10q21.3	10:68106116-68212016	"MYPN, CMD1DD, CMH22, RCM4"	Myopalladin	608517		"Cardiomyopathy, dilated, 1KK"	615248	Autosomal dominant	3	Mypn
10q22.2	10:73998077-74120159	"VCL, CMD1W, CMH15"	Vinculin	193065		"Cardiomyopathy, hypertrophic, 15"	613255		3	Vcl
10q22.2	10:73998077-74120159	"VCL, CMD1W, CMH15"	Vinculin	193065		"Cardiomyopathy, dilated, 1W"	611407		3	Vcl
10q22.2	10:75210153-75231447	VDAC2	Voltage-dependent anion channel 2	193245					Vdac2	
10q22.3	10:76869600-77637818	"KCNMA1, SLO"	"Potassium large conductance calcium-activated channel, subfamily M, alpha member 1 (slowpoke, Drosophila, homolog of)"	600150		Generalized epilepsy and paroxysmal dyskinesia	609446	Autosomal dominant	3	Kcnma1
10q23.2	10:86666716-86736071	"LDB3, ZASP, CYPHER, KIAA01613, MFM4, CMD1C, CMH24, LVNC3"	LIM domain binding 3	605906		"Cardiomyopathy, hypertrophic, 24"	601493	Autosomal dominant	3	
10q23.2	10:86666716-86736071	"LDB3, ZASP, CYPHER, KIAA01613, MFM4, CMD1C, CMH24, LVNC3"	LIM domain binding 3	605906		"Cardiomyopathy, dilated, 1C, with or without LVNC"	601493	Autosomal dominant	3	
10q23.2	10:86666716-86736071	"LDB3, ZASP, CYPHER, KIAA01613, MFM4, CMD1C, CMH24, LVNC3"	LIM domain binding 3	605906		"Myopathy, myofibrillar, 4"	609452	Autosomal dominant	3	
10q23.2	10:86666716-86736071	"LDB3, ZASP, CYPHER, KIAA01613, MFM4, CMD1C, CMH24, LVNC3"	LIM domain binding 3	605906		Left ventricular noncompaction 3	601493	Autosomal dominant	3	
10q23.3	10:87700000-95300000	RCM2	"Cardiomyopathy, familial restrictive, 2"	609578	max lod at D10S1242	"Cardiomyopathy, familial restrictive, 2"	609578		2	
10q25.2	10:110644396-110839470	RBM20	RNA-binding motif protein 20	613171		"Cardiomyopathy, dilated, 1DD"	613172	Autosomal dominant	3	Rbm20
10q25.3	10:114044046-114046907	"ADRB1, ADRB1R, RHR"	"Adrenergic, beta-1-, receptor"	109630	close linkage to ADRA2R	"{Congestive heart failure and beta-blocker response, modifier of}"			3	Adrb1
10q25.3	10:114044046-114046907	"ADRB1, ADRB1R, RHR"	"Adrenergic, beta-1-, receptor"	109630	close linkage to ADRA2R	[Resting heart rate]	607276		3	Adrb1
10q25.3	10:117197488-117210298	"KCNK18, TRESK, TRIK, MGR13"	"Potassium channel, subfamily K, member 18"	613655		"{Migraine, with or without aura, susceptibility to, 13}"	613656		3	Kcnk18
10q26.11	10:119651346-119677818	"BAG3, MFM6"	BCL2-associated athanogene 3	603883		"Myopathy, myofibrillar, 6"	612954	Autosomal dominant	3	Bag3
10q26.11	10:119651346-119677818	"BAG3, MFM6"	BCL2-associated athanogene 3	603883		"Cardiomyopathy, dilated, 1HH"	613881	Autosomal dominant	3	Bag3
11p15.5	11:2403951-2435016	"TRPM5, MTR1"	"Transient receptor potential cation channel, subfamily M, member 5 (MLSN1- and TRP-related gene 1)"	604600	maternal allele imprinted				Trpm5	
11p15.5-p15.4	11:2444990-2849109	"KCNQ1, KCNA9, LQT1, KVLQT1, ATFB3, SQT2"	"Potassium voltage-gated channel, KQT-like subfamily, member 1"	607542		Long QT syndrome 1	192500	Autosomal dominant	3	Kcnq1
11p15.5-p15.4	11:2444990-2849109	"KCNQ1, KCNA9, LQT1, KVLQT1, ATFB3, SQT2"	"Potassium voltage-gated channel, KQT-like subfamily, member 1"	607542		Jervell and Lange-Nielsen syndrome	220400	Autosomal recessive	3	Kcnq1
11p15.5-p15.4	11:2444990-2849109	"KCNQ1, KCNA9, LQT1, KVLQT1, ATFB3, SQT2"	"Potassium voltage-gated channel, KQT-like subfamily, member 1"	607542		"Atrial fibrillation, familial, 3"	607554	Autosomal dominant	3	Kcnq1
11p15.5-p15.4	11:2444990-2849109	"KCNQ1, KCNA9, LQT1, KVLQT1, ATFB3, SQT2"	"Potassium voltage-gated channel, KQT-like subfamily, member 1"	607542		"{Long QT syndrome 1, acquired, susceptibility to}"	192500	Autosomal dominant	3	Kcnq1
11p15.5-p15.4	11:2444990-2849109	"KCNQ1, KCNA9, LQT1, KVLQT1, ATFB3, SQT2"	"Potassium voltage-gated channel, KQT-like subfamily, member 1"	607542		Short QT syndrome 2	609621		3	Kcnq1
11p15.1	11:17364823-17389330	"KCNJ11, BIR, PHHI, HHF2, TNDM3, MODY13"	"Potassium inwardly-rectifying channel, subfamily J, member 11"	600937	4.5kb 3' of SUR	"Maturity-onset diabetes of the young, type 13"	616329	Autosomal dominant	3	Kcnj11
11p15.1	11:17364823-17389330	"KCNJ11, BIR, PHHI, HHF2, TNDM3, MODY13"	"Potassium inwardly-rectifying channel, subfamily J, member 11"	600937	4.5kb 3' of SUR	"Hyperinsulinemic hypoglycemia, familial, 2"	601820	Autosomal recessive	3	Kcnj11
11p15.1	11:17364823-17389330	"KCNJ11, BIR, PHHI, HHF2, TNDM3, MODY13"	"Potassium inwardly-rectifying channel, subfamily J, member 11"	600937	4.5kb 3' of SUR	"Diabetes, permanent neonatal"	606176	Autosomal dominant	3	Kcnj11
11p15.1	11:17364823-17389330	"KCNJ11, BIR, PHHI, HHF2, TNDM3, MODY13"	"Potassium inwardly-rectifying channel, subfamily J, member 11"	600937	4.5kb 3' of SUR	"Diabetes mellitus, transient neonatal, 3"	610582		3	Kcnj11
11p15.1	11:17364823-17389330	"KCNJ11, BIR, PHHI, HHF2, TNDM3, MODY13"	"Potassium inwardly-rectifying channel, subfamily J, member 11"	600937	4.5kb 3' of SUR	"Diabetes mellitus, permanent neonatal, with neurologic features"	606176	Autosomal dominant	3	Kcnj11
11p15.1	11:17364823-17389330	"KCNJ11, BIR, PHHI, HHF2, TNDM3, MODY13"	"Potassium inwardly-rectifying channel, subfamily J, member 11"	600937	4.5kb 3' of SUR	"{Diabetes mellitus, type 2, susceptibility to}"	125853	Autosomal dominant	3	Kcnj11
11p15.1	11:17735909-17864287	"KCNC1, EPM7"	"Potassium voltage-gated channel, Shaw-related subfamily, member 1"	176258		"Epilepsy, progressive myoclonic 7"	616187	Autosomal dominant	3	Kcnc1
11p15.1	11:19182029-19210570	"CSRP3, CRP3, CLP, CMD1M, CMH12"	Cysteine- and glycine-rich protein 3	600824	mutation identified in 1 CMD1M family	"Cardiomyopathy, hypertrophic, 12"	612124	Autosomal dominant	3	Csrp3
11p15.1	11:19182029-19210570	"CSRP3, CRP3, CLP, CMD1M, CMH12"	Cysteine- and glycine-rich protein 3	600824	mutation identified in 1 CMD1M family	"?Cardiomyopathy, dilated, 1M"	607482		3	Csrp3
11p14.1	11:30009740-30017029	"KCNA4, KCNA8"	"Potassium voltage-gated channel, shaker-related subfamily, member 4"	176266	other map to 11p				Kcna4	
11p11.2	11:47331405-47352701	"MYBPC3, CMH4, CMD1MM, LVNC10"	"Myosin-binding protein C, cardiac"	600958		Left ventricular noncompaction 10	615396	Autosomal dominant	3	Mybpc3
11p11.2	11:47331405-47352701	"MYBPC3, CMH4, CMD1MM, LVNC10"	"Myosin-binding protein C, cardiac"	600958		"Cardiomyopathy, hypertrophic, 4"	115197	Autosomal dominant	3	Mybpc3
11p11.2	11:47331405-47352701	"MYBPC3, CMH4, CMD1MM, LVNC10"	"Myosin-binding protein C, cardiac"	600958		"Cardiomyopathy, dilated, 1MM"	615396	Autosomal dominant	3	Mybpc3
11q12.1	11:57335945-57372398	"P2RX3, P2X3"	"Purinergic receptor P2X, ligand-gated ion channel, 3"	600843					P2rx3	
11q12.3	11:62615295-62622174	"B3GAT3, GLCATI"	"Beta-1,3-glucuronyltransferase 3"	606374	pseudogene on chr.3	"Multiple joint dislocations, short stature, craniofacial dysmorphism, and congenital heart defects"	245600	Autosomal recessive	3	B3gat3
11q13.1	11:64291320-64300030	"KCNK4, TRAAK"	"Potassium channel, subfamily K, member 4"	605720					Kcnk4	
11q13.1	11:65592854-65595995	KCNK7	"Potassium channel, subfamily K, member 7"	603940					Kcnk7	
										
Phenotype Mapping Key										
"1 - the disorder is placed on the map due to its association with a gene, but the underlying defect is not known."										
2 - the disorder was placed on the map by statistical methods.										
3 - the molecular basis of the disorder is known.										
4 - a contiguous gene duplication or deletion syndrome in which multiple genes are involved.										
