Disease/Trait	Reported Gene(s)	Mapped_gene	Chr_pos	Reported Gene(s)	Strongest SNP-Risk Allele	SNPs
Pulmonary function	ADARB1	ADARB1	45209675	ADARB1	rs2838815-?	rs2838815
Pulmonary function	FLJ32831	C15orf32 - LINC00930	92507736	FLJ32831	rs1455782-?	rs1455782
Pulmonary function	SNTG1	SNTG1	50500031	SNTG1	rs310558-?	rs310558
Pulmonary function	RHBDD1	RHBDD1	226908750	RHBDD1	rs3820928-?	rs3820928
Pulmonary function	NID2	NID2	52052093	NID2	rs730532-?	rs730532
Pulmonary function	intergenic	SLC35F4 - C14orf37	57931198	intergenic	rs808225-?	rs808225
Pulmonary function	IL6R	IL6R	154453788	IL6R	rs4129267-?	rs4129267
Pulmonary function	CDRT4	TEKT3 - CDRT4	15428200	CDRT4	rs2906966-?	rs2906966
Pulmonary function	intergenic	RPS17P12 - IMPDH1P3	138364642	intergenic	rs357394-?	rs357394
Coronary restenosis	"STAB2, C12orf42, NT5DC3"	C12orf42 - STAB2	103518728	"STAB2, C12orf42, NT5DC3"	rs10861032-C	rs10861032
Pulmonary function	HHIP	GYPA - KRT18P51	144539078	HHIP	rs13147758-G	rs13147758
C-reactive protein	LEPR	LEPR	65624099	LEPR	rs6700896-T	rs6700896
C-reactive protein	IL6R	IL6R	154446403	IL6R	rs4537545-T	rs4537545
C-reactive protein	CRP	CRP - RPL27P2	159728759	CRP	rs7553007-A	rs7553007
C-reactive protein	HNF1A	HNF1A	120983004	HNF1A	rs1183910-T	rs1183910
C-reactive protein	"APOE, APOCII, APOC1"	APOC1	44919689	"APOE, APOCII, APOC1"	rs4420638-G	rs4420638
Plasma cystastin c levels in acute coronary syndrome	CST3	CST3	23635832	CST3	rs35610040-G	rs35610040
Plasma cystastin c levels in acute coronary syndrome	"CST3, CST4"	CST3 - CST4	23661790	"CST3, CST4"	rs16985615-?	rs16985615
Blood pressure (smoking interaction)	"GYPA, KRT18P51"	GYPA - KRT18P51	144336787	"GYPA, KRT18P51"	rs6537278-?	rs6537278
Blood pressure (smoking interaction)	intergenic	CICP17 - POM121L12	51797912	intergenic	rs4947642-?	rs4947642
Blood pressure (smoking interaction)	"FOXP2, PPP1R3A"	FOXP2	114358191	"FOXP2, PPP1R3A"	rs12705959-?	rs12705959
Blood pressure (smoking interaction)	"COLEC10, MAL2"	COLEC10 - MAL2	119130800	"COLEC10, MAL2"	rs6989684-?	rs6989684
Blood pressure (smoking interaction)	"COLEC10, MAL2"	COLEC10 - MAL2	119130800	"COLEC10, MAL2"	rs6989684-?	rs6989684
Blood pressure (smoking interaction)	FRY	FRY	32053511	FRY	rs9533282-?	rs9533282
Blood pressure (smoking interaction)	"GPC6, GPC5"	GPC5-AS1 - GPC6	93077032	"GPC6, GPC5"	rs9561252-?	rs9561252
Blood pressure (smoking interaction)	"GPC6, GPC5"	GPC5-AS1 - GPC6	93077032	"GPC6, GPC5"	rs9561252-?	rs9561252
Blood pressure (smoking interaction)	"NRXN3, LOC730007"	TRSUP-CTA3-1 - DIO2	79944098	"NRXN3, LOC730007"	rs8010717-?	rs8010717
Blood pressure (smoking interaction)	"NRXN3, LOC730007"	TRSUP-CTA3-1 - DIO2	79944098	"NRXN3, LOC730007"	rs8010717-?	rs8010717
Blood pressure (smoking interaction)	"NRXN3, LOC730007"	TRSUP-CTA3-1 - DIO2	79944098	"NRXN3, LOC730007"	rs8010717-?	rs8010717
Blood pressure (smoking interaction)	HERC2P6	GOLGA8S - HERC2P6	23402264	HERC2P6	rs937741-?	rs937741
Blood pressure (smoking interaction)	"DSEL, CDH19"	CDH19 - MIR5011	66903148	"DSEL, CDH19"	rs7234531-?	rs7234531
Blood pressure (smoking interaction)	intergenic	LINC01029 - SALL3	78734592	intergenic	rs4573996-?	rs4573996
Blood pressure (smoking interaction)	MN1	RPL15P22 - MN1	27626764	MN1	rs133980-?	rs133980
Blood pressure (smoking interaction)	GRB10	GRB10	50729988	GRB10	rs10275663-?	rs10275663
Hypertension	SLC12A9	SLC12A9	100860471	SLC12A9	rs7801190-C	rs7801190
Hypertension	intergenic	UBE3AP2 - TIAM1	31068221	intergenic	rs1475591-T	rs1475591
Hypertension	IGSF5	IGSF5	39751374	IGSF5	rs1735151-T	rs1735151
Hypertension	KLHL29	KLHL29	23675447	KLHL29	rs4665630-?	rs4665630
Hypertension	intergenic	RPL36AP23 - CCDC34P1	112002081	intergenic	rs17589290-?	rs17589290
Hypertension	OPRM1	OPRM1	154093428	OPRM1	rs675026-?	rs675026
Hypertension	SLC30A1	RD3 - SLC30A1	211527316	SLC30A1	rs7526425-?	rs7526425
Hypertension	intergenic	PES1P1 - RPS2P27	134601585	intergenic	rs10026364-T	rs10026364
Sudden cardiac arrest	intergenic	FTH1P5 - RPS15AP20	51020055	intergenic	rs190759-?	rs190759
Sudden cardiac arrest	PLEKHG7	CLLU1 - C12orf74	92496744	PLEKHG7	rs10219495-?	rs10219495
Sudden cardiac arrest	intergenic	HSPE1P20 - FLJ37505	127308069	intergenic	rs1823172-?	rs1823172
Sudden cardiac arrest	CHRNB4	CHRNB4	78633676	CHRNB4	rs950776-?	rs950776
Sudden cardiac arrest	intergenic	MARCH10	62701571	intergenic	rs2251393-?	rs2251393
Sudden cardiac arrest	CDH4	CDH4	61668355	CDH4	rs944260-?	rs944260
Sudden cardiac arrest	E2F6		11370822	E2F6	rs6716724-?	rs6716724
Sudden cardiac arrest	ACYP2	ACYP2	54120613	ACYP2	rs1559040-?	rs1559040
Sudden cardiac arrest	ZNF385B	ZNF385B	179701951	ZNF385B	rs16866933-?	rs16866933
Sudden cardiac arrest	CHL1	CHL1	270666	CHL1	rs6764363-?	rs6764363
Sudden cardiac arrest	intergenic	PDGFB - RPL3	39291479	intergenic	rs54211-?	rs54211
Sudden cardiac arrest	intergenic	MIR1973 - TRMT112P1	116333133	intergenic	rs2389202-?	rs2389202
Sudden cardiac arrest	RSHL1	RSPH6A	45804148	RSHL1	rs8111071-?	rs8111071
Sudden cardiac arrest	intergenic	YTHDC2 - KCNN2	113694467	intergenic	rs4621553-?	rs4621553
Sudden cardiac arrest	intergenic	KLF12 - RNY1P5	74168185	intergenic	rs12429889-?	rs12429889
Sudden cardiac arrest	intergenic	RPL10P13 - PHLDA1	75826838	intergenic	rs7307780-?	rs7307780
Sudden cardiac arrest	intergenic	MAML2	96133536	intergenic	rs10765792-?	rs10765792
Sudden cardiac arrest	GRIA1	GRIA1	153677988	GRIA1	rs12189362-?	rs12189362
Sudden cardiac arrest	ESR1	ESR1	151964552	ESR1	rs2982694-?	rs2982694
Sudden cardiac arrest	intergenic	ARL5B	18661626	intergenic	rs10829156-?	rs10829156
Sudden cardiac arrest	intergenic	SCML2P1 - LAMA1	6939948	intergenic	rs597503-?	rs597503
Sudden cardiac arrest	KCTD1	KCTD1	26576461	KCTD1	rs16942421-?	rs16942421
Sudden cardiac arrest	intergenic	FLRT2 - GALC	87039904	intergenic	rs11624056-?	rs11624056
Sudden cardiac arrest	intergenic	TTC4P1 - HMGN1P19	46202985	intergenic	rs6964415-?	rs6964415
Sudden cardiac arrest	intergenic	RPL15P22 - MN1	27694209	intergenic	rs5762311-?	rs5762311
Sudden cardiac arrest	MCTP2	RPL26P5 - LINC01197	94622351	MCTP2	rs1014922-?	rs1014922
Sudden cardiac arrest	intergenic	CALM2P1 - CASC17	70648048	intergenic	rs17718586-?	rs17718586
Sudden cardiac arrest	DEGS2	DEGS2	100159565	DEGS2	rs7157599-?	rs7157599
Sudden cardiac arrest	CLSTN2	CLSTN2	140456518	CLSTN2	rs11708189-?	rs11708189
Sudden cardiac arrest	EFCAB1	EFCAB1 - SNAI2	48899642	EFCAB1	rs12155623-?	rs12155623
Sudden cardiac arrest	DCN	DCN - C12orf79	91586597	DCN	rs10777317-?	rs10777317
Sudden cardiac arrest	intergenic	TRQ-TTG9-1 - RMST	97295990	intergenic	rs10777845-?	rs10777845
Sudden cardiac arrest	intergenic	ACVR1 - UPP2	157923692	intergenic	rs10183640-?	rs10183640
Sudden cardiac arrest	FMO1	HMGB1P11 - FMO4	171292054	FMO1	rs6660565-?	rs6660565
Sudden cardiac arrest	GARNL4	RAP1GAP2	2868218	GARNL4	rs12603284-?	rs12603284
Sudden cardiac arrest	intergenic	RNA5SP404 - GRIN2A	9650238	intergenic	rs17550532-?	rs17550532
Sudden cardiac arrest	SIN3A	SIN3A	75426328	SIN3A	rs8028182-?	rs8028182
Sudden cardiac arrest	AP1G2	"AP1G2, LOC102724814"	23563861	AP1G2	rs2281680-?	rs2281680
Sudden cardiac arrest	PARP4	PARP4	24508492	PARP4	rs9581094-?	rs9581094
Sudden cardiac arrest	ATF1	ATF1	50819650	ATF1	rs17291650-?	rs17291650
Sudden cardiac arrest	intergenic	CCDC179 - MIR8054	23023046	intergenic	rs10833905-?	rs10833905
Sudden cardiac arrest	PLCE1	PLCE1	94276223	PLCE1	rs11187837-?	rs11187837
Sudden cardiac arrest	ZFPM2	LRP12 - RPL23P9	104945312	ZFPM2	rs16872085-?	rs16872085
Sudden cardiac arrest	PXMP3	HIGD1AP18 - PKIA	77768114	PXMP3	rs3864663-?	rs3864663
Sudden cardiac arrest	OCM2	OCM2	97991379	OCM2	rs13438327-?	rs13438327
Sudden cardiac arrest	intergenic	ARL4A - RBMX2P4	12892424	intergenic	rs732577-?	rs732577
Sudden cardiac arrest	TMEFF2	TMEFF2	192090779	TMEFF2	rs13007495-?	rs13007495
Sudden cardiac arrest	intergenic	TANC1	159213245	intergenic	rs13022357-?	rs13022357
Sudden cardiac arrest	intergenic	GALNT13	154370165	intergenic	rs707040-?	rs707040
Sudden cardiac arrest	intergenic	GALNT13	154370165	intergenic	rs707040-?	rs707040
Atrial fibrillation	PITX2	PITX2 - MIR297	110787131	PITX2	rs17042171-A	rs17042171
Atrial fibrillation	ZFHX3	ZFHX3	73017721	ZFHX3	rs2106261-T	rs2106261
Atrial fibrillation	"NPPA, MTHFR"	MTHFR	11792459	"NPPA, MTHFR"	rs17375901-T	rs17375901
RR interval (heart rate)	GPR133	ADGRD1	131137217	GPR133	rs885389-A	rs885389
RR interval (heart rate)	intergenic	NPAP1P6 - NPAP1P4	80192588	intergenic	rs12554086-A	rs12554086
RR interval (heart rate)	intergenic	CYCSP14 - PGBD4P4	130216606	intergenic	rs1024020-A	rs1024020
RR interval (heart rate)	intergenic	HLA-DPB2	33118472	intergenic	rs3117035-A	rs3117035
RR interval (heart rate)	FRMD4A	FRMD4A	13713544	FRMD4A	rs1541010-A	rs1541010
RR interval (heart rate)	intergenic	SREK1 - MAST4	66443611	intergenic	rs10514995-G	rs10514995
RR interval (heart rate)	intergenic	GALR1 - BDP1P	77275676	intergenic	rs2717128-G	rs2717128
RR interval (heart rate)	intergenic	MTND3P1 - LINC00540	22135531	intergenic	rs7318731-A	rs7318731
RR interval (heart rate)	RASGRF1	RASGRF1	78981704	RASGRF1	rs3743200-A	rs3743200
RR interval (heart rate)	intergenic	QPCT - CDC42EP3	37523837	intergenic	rs4352210-A	rs4352210
RR interval (heart rate)	intergenic	RPL9P23 - HNRNPKP3	41831114	intergenic	rs1484948-G	rs1484948
RR interval (heart rate)	intergenic	ACTG1P13 - COL8A1	99448263	intergenic	rs2670321-C	rs2670321
RR interval (heart rate)	intergenic	IZUMO3 - TUSC1	25449124	intergenic	rs12552736-G	rs12552736
RR interval (heart rate)	AKT3	AKT3	243779782	AKT3	rs4132509-A	rs4132509
RR interval (heart rate)	intergenic	RPL31P13 - PROX1-AS1	213682245	intergenic	rs17706439-A	rs17706439
RR interval (heart rate)	intergenic	ARHGAP25 - BMP10	68836777	intergenic	rs10496166-A	rs10496166
RR interval (heart rate)	intergenic	TOX - RNA5SP267	59217737	intergenic	rs3110127-A	rs3110127
RR interval (heart rate)	intergenic	RPL37P10 - ST6GALNAC2P1	84019462	intergenic	rs1447537-A	rs1447537
RR interval (heart rate)	intergenic	IZUMO3 - TUSC1	25452814	intergenic	rs13300284-A	rs13300284
RR interval (heart rate)	intergenic	ISCA2P1 - MIAT	26646142	intergenic	rs744016-A	rs744016
Electrocardiographic traits	SCN10A	SCN10A	38725184	SCN10A	rs6795970-A	rs6795970
Electrocardiographic traits	NOS1AP	NOS1AP	162115519	NOS1AP	rs1415259-A	rs1415259
Electrocardiographic traits	KCNH2	AOC1 - KCNH2	150940775	KCNH2	rs4725982-A	rs4725982
Atrial fibrillation	PITX2	PITX2 - MIR297	110796911	PITX2	rs6843082-G	rs6843082
Atrial fibrillation	KCNN3	KCNN3	154841877	KCNN3	rs13376333-T	rs13376333
Atrial fibrillation	NR	SULF2 - SRMP1	47796832	NR	rs13038095-?	rs13038095
Cardiac repolarization	"MGAT5B, SEC14L"	MGAT5B - SNHG20	77008131	"MGAT5B, SEC14L"	rs11653989-T	rs11653989
Cardiac repolarization	"PDZD8, EMX2"		117450864	"PDZD8, EMX2"	rs6585436-C	rs6585436
Cardiac repolarization	KCND3	KCND3	111921754	KCND3	rs17029069-T	rs17029069
Atrial fibrillation	ZFHX3	ZFHX3	73017721	ZFHX3	rs2106261-T	rs2106261
Life threatening arrhythmia	KIAA0574	FAM189A1	29439240	KIAA0574	rs11856574-G	rs11856574
Life threatening arrhythmia	IRF2BP2	LINC00184 - LINC01132	234680808	IRF2BP2	rs482329-C	rs482329
Cardiac repolarization	KCNJ2	CALM2P1 - CASC17	70525720	KCNJ2	rs7219669-T	rs7219669
Chagas cardiomyopathy in Tripanosoma cruzi seropositivity	NR	KAZN	14466039	NR	rs2480054-?	rs2480054
Chagas cardiomyopathy in Tripanosoma cruzi seropositivity	NR	MITF	69774942	NR	rs78356356-?	rs78356356
Chagas cardiomyopathy in Tripanosoma cruzi seropositivity	NR	ZBTB9 - BAK1	33566949	NR	rs6910233-?	rs6910233
Chagas cardiomyopathy in Tripanosoma cruzi seropositivity	C6orf106	C6orf106	34614497	C6orf106	rs182503338-?	rs182503338
Chagas cardiomyopathy in Tripanosoma cruzi seropositivity	NR		40360639	NR	rs2038868-?	rs2038868
Chagas cardiomyopathy in Tripanosoma cruzi seropositivity	NR	CAPN11 - SLC29A1	44204326	NR	rs35131064-?	rs35131064
Chagas cardiomyopathy in Tripanosoma cruzi seropositivity	NR	PDGFRL	17604713	NR	rs7829987-?	rs7829987
Chagas cardiomyopathy in Tripanosoma cruzi seropositivity	NR	NRG1	32460839	NR	rs12542743-?	rs12542743
Chagas cardiomyopathy in Tripanosoma cruzi seropositivity	SYT9	SYT9	7374960	SYT9	rs10769783-?	rs10769783
Chagas cardiomyopathy in Tripanosoma cruzi seropositivity	NR	CAPZA3 - RPL7P6	18871624	NR	rs12319113-?	rs12319113
Chagas cardiomyopathy in Tripanosoma cruzi seropositivity	SLCO1B1	SLCO1B1	21138627	SLCO1B1	rs4149018-?	rs4149018
Chagas cardiomyopathy in Tripanosoma cruzi seropositivity	NR	TRA	21728267	NR	rs10132760-?	rs10132760
Chagas cardiomyopathy in Tripanosoma cruzi seropositivity	NR	SPTB	64852643	NR	rs35955841-?	rs35955841
Chagas cardiomyopathy in Tripanosoma cruzi seropositivity	NR	TMCO5A - SPRED1	38142690	NR	rs10468092-?	rs10468092
Chagas cardiomyopathy in Tripanosoma cruzi seropositivity	NR	PLA2G4F	42142639	NR	rs1356410-?	rs1356410
Chagas cardiomyopathy in Tripanosoma cruzi seropositivity	NR	BNIP3P27 - ZNF208	21952468	NR	rs2262909-?	rs2262909
Chagas cardiomyopathy in Tripanosoma cruzi seropositivity	NR	TIAM1	31512535	NR	rs73199525-?	rs73199525
Chagas cardiomyopathy in Tripanosoma cruzi seropositivity	NR	LARGE-AS1 - ISX	34748420	NR	rs4493363-?	rs4493363
Atrial fibrillation/atrial flutter	"PITX2, ENPEP"	PITX2 - MIR297	110789013	"PITX2, ENPEP"	rs2200733-T	rs2200733
Atrial fibrillation/atrial flutter	"PITX2, ENPEP"	PITX2 - MIR297	110799605	"PITX2, ENPEP"	rs10033464-T	rs10033464
Sudden cardiac arrest	BAZ2B	BAZ2B	159333698	BAZ2B	rs4665058-A	rs4665058
Atrial fibrillation	ZFHX3	ZFHX3	72995261	ZFHX3	rs7193343-T	rs7193343
Atrial fibrillation	intergenic	PITX2 - MIR297	110789013	intergenic	rs2200733-?	rs2200733
Atrial fibrillation	PRRX1	GORAB - PRRX1	170600176	PRRX1	rs3903239-G	rs3903239
Atrial fibrillation	WNT8A	WNT8A	138084300	WNT8A	rs2040862-T	rs2040862
Atrial fibrillation	CAV1	CAV1	116546187	CAV1	rs3807989-G	rs3807989
Atrial fibrillation	C9orf3	C9orf3	94951177	C9orf3	rs10821415-A	rs10821415
Atrial fibrillation	SYNPO2L	SYNPO2L - AGAP5	73661450	SYNPO2L	rs10824026-A	rs10824026
Atrial fibrillation	SYNE2	"ESR2, SYNE2"	64214130	SYNE2	rs1152591-A	rs1152591
Atrial fibrillation	HCN4	HCN4	73359833	HCN4	rs7164883-G	rs7164883
Atrial fibrillation	"KCNN3, PMVK"	KCNN3	154841792	"KCNN3, PMVK"	rs6666258-C	rs6666258
Atrial fibrillation	PITX2	PITX2 - MIR297	110784612	PITX2	rs6817105-C	rs6817105
Drug-induced torsades de pointes	"C18orf21, RPRD1A, MIR187, GALNT1"	C18orf21	35977503	"C18orf21, RPRD1A, MIR187, GALNT1"	rs2276314-?	rs2276314
Aortic-valve calcification	LPA	LPA	160589086	LPA	rs10455872-G	rs10455872
Brugada syndrome	SCN5A	SCN5A	38592432	SCN5A	rs11708996-C	rs11708996
Brugada syndrome	SCN10A	SCN10A	38736063	SCN10A	rs10428132-T	rs10428132
Brugada syndrome	"NCOA7, HEY2"	HEY2 - TRE-CTC1-7	125769231	"NCOA7, HEY2"	rs9388451-C	rs9388451
Cardiac Troponin-T levels	"TRAM1, NCOA2"	LOC101926892	70474669	"TRAM1, NCOA2"	rs10091374-A	rs10091374
Cardiac Troponin-T levels	TNNT2	TNNT2	201376359	TNNT2	rs12564445-A	rs12564445
Cardiac Troponin-T levels	LRRIQ3	KRT8P21 - LRRIQ3	73588377	LRRIQ3	rs2341260-T	rs2341260
Cardiac Troponin-T levels	NRG1	NRG1	31709490	NRG1	rs4733271-A	rs4733271
Cardiac Troponin-T levels	C8orf80	NUGGC	28048371	C8orf80	rs6983473-A	rs6983473
Cardiac Troponin-T levels	OR2B7P	OR2B7P - OR2B8P	28053042	OR2B7P	rs172166-C	rs172166
Cardiac Troponin-T levels	LOC129656	ZNF863P - MIR4431	52486669	LOC129656	rs1526687-T	rs1526687
Cardiac Troponin-T levels	CDH7	LINC00305 - CDH7	65217682	CDH7	rs605920-C	rs605920
Cardiac Troponin-T levels	BCL2	BCL2	63192088	BCL2	rs899967-C	rs899967
Cardiac Troponin-T levels	STARD7	DUSP2 - STARD7	96176055	STARD7	rs11886999-T	rs11886999
Cardiac Troponin-T levels	TNNT2	TNNT2	201376359	TNNT2	rs12564445-A	rs12564445
Cardiac Troponin-T levels	HNT	NTM	131937277	HNT	rs12098973-G	rs12098973
Cardiac Troponin-T levels	ATP6V1C2	ATP6V1C2	10763286	ATP6V1C2	rs1198872-T	rs1198872
Cardiac Troponin-T levels	FBLIM1	TMEM82 - FBLIM1	15753676	FBLIM1	rs12725198-A	rs12725198
Cardiac Troponin-T levels	CASR	CASR - HNRNPA1P23	122295719	CASR	rs13083990-T	rs13083990
Cardiac Troponin-T levels	CXCL13	LOC100507053	99242716	CXCL13	rs2201728-G	rs2201728
Cardiac Troponin-T levels	TNFAIP3	TNFAIP3 - RPSAP42	137945548	TNFAIP3	rs9321637-C	rs9321637
Cardiac Troponin-T levels	DLGAP1	DLGAP1	3512218	DLGAP1	rs17724172-C	rs17724172
Cardiac Troponin-T levels	GPR26	RPS26P39 - GPR26	123447985	GPR26	rs17666963-T	rs17666963
Response to Dalcetrapib treatment in acute coronary syndrome	ADCY9	ADCY9	4015582	ADCY9	rs1967309-G	rs1967309
