Date Added to Catalog	PUBMEDID	First Author	Date	Journal	Link	Study	Disease/Trait	Initial Sample Size	Replication Sample Size	Region	Chr_id	Chr_pos	Reported Gene(s)	Mapped_gene	Upstream_gene_id	Downstream_gene_id	Snp_gene_ids	Upstream_gene_distance	Downstream_gene_distance	Strongest SNP-Risk Allele	SNPs	Merged	Snp_id_current	Context	Intergenic	Risk Allele Frequency	p-Value	Pvalue_mlog	p-Value (text)	OR or beta	95% CI (text)	Platform [SNPs passing QC]
	23650146	Tang W	2013-05-04	Genet Epidemiol	www.ncbi.nlm.nih.gov/pubmed/23650146	A genome-wide association study for venous thromboembolism: the extended cohorts for heart and aging research in genomic epidemiology (CHARGE) consortium.	Venous thromboembolism	1,618 European ancestry cases, 42,881 European ancestry controls	3,231 European ancestry cases, 3,536 European ancestry controls	15q13.3	15	31501727	OTUD7A	OTUD7A			161725			rs7164569-A	rs7164569		7164569	cds-synon	0	0.36	3.0E-6	5.522878745280337		1.15	[1.09-1.23]	Illumina & Affymetrix [2,543,885] (Imputed)
	23650146	Tang W	2013-05-04	Genet Epidemiol	www.ncbi.nlm.nih.gov/pubmed/23650146	A genome-wide association study for venous thromboembolism: the extended cohorts for heart and aging research in genomic epidemiology (CHARGE) consortium.	Venous thromboembolism	1,618 European ancestry cases, 42,881 European ancestry controls	3,231 European ancestry cases, 3,536 European ancestry controls	5q13.3	5	76326989	SV2C	SV2C			22987			rs3733860-A	rs3733860		3733860	intron	0	0.87	8.0E-6	5.096910013008056		1.19	[1.10-1.29]	Illumina & Affymetrix [2,543,885] (Imputed)
	23934736	Yu B	2013-08-10	Genet Epidemiol	www.ncbi.nlm.nih.gov/pubmed/23934736	Genome-wide association study of a heart failure related metabolomic profile among African Americans in the Atherosclerosis Risk in Communities (ARIC) study.	Metabolite levels (Pyroglutamine)	1,260 African American individuals	NA	7q22.1	7	103534997	RELN	RELN			5649			rs1008126-C	rs1008126		1008126	intron	0		8.0E-6	5.096910013008056		0.09	[0.05-0.14]	Affymetrix [~2.5 million] (Imputed)
	23934736	Yu B	2013-08-10	Genet Epidemiol	www.ncbi.nlm.nih.gov/pubmed/23934736	Genome-wide association study of a heart failure related metabolomic profile among African Americans in the Atherosclerosis Risk in Communities (ARIC) study.	Metabolite levels (Pyroglutamine)	1,260 African American individuals	NA	9p22.3	9	16512750	BNC2	BNC2			54796			rs10124550-A	rs10124550		10124550	intron	0		7.0E-7	6.154901959985743		0.16	[0.09-0.21]	Affymetrix [~2.5 million] (Imputed)
	23934736	Yu B	2013-08-10	Genet Epidemiol	www.ncbi.nlm.nih.gov/pubmed/23934736	Genome-wide association study of a heart failure related metabolomic profile among African Americans in the Atherosclerosis Risk in Communities (ARIC) study.	Metabolite levels (Pyroglutamine)	1,260 African American individuals	NA	5q33.1	5	151366473	LOC402233	ATP6V1G1P5 - SLC36A1	100462840	206358		46695	70519	rs10463316-A	rs10463316		10463316		1	0.642	2.0E-10	9.698970004336019		0.14	[0.10-0.18]	Affymetrix [~2.5 million] (Imputed)
	23934736	Yu B	2013-08-10	Genet Epidemiol	www.ncbi.nlm.nih.gov/pubmed/23934736	Genome-wide association study of a heart failure related metabolomic profile among African Americans in the Atherosclerosis Risk in Communities (ARIC) study.	Metabolite levels (Pyroglutamine)	1,260 African American individuals	NA	9p22.3	9	15104563	PSIP1P	PSIP1P1 - TTC39B	353329	158219		47963	66281	rs10756650-A	rs10756650		10756650		1		4.9999999999999996E-6	5.301029995663981		0.1	[0.06-0.15]	Affymetrix [~2.5 million] (Imputed)
	23934736	Yu B	2013-08-10	Genet Epidemiol	www.ncbi.nlm.nih.gov/pubmed/23934736	Genome-wide association study of a heart failure related metabolomic profile among African Americans in the Atherosclerosis Risk in Communities (ARIC) study.	Metabolite levels (Pyroglutamine)	1,260 African American individuals	NA	8q21.13	8	80119587	TPD52	TPD52			7163			rs10957961-A	rs10957961		10957961	intron	0		2.0E-7	6.698970004336019		0.153	[0.10-0.23]	Affymetrix [~2.5 million] (Imputed)
	23934736	Yu B	2013-08-10	Genet Epidemiol	www.ncbi.nlm.nih.gov/pubmed/23934736	Genome-wide association study of a heart failure related metabolomic profile among African Americans in the Atherosclerosis Risk in Communities (ARIC) study.	Metabolite levels (Pyroglutamine)	1,260 African American individuals	NA	9q34.11	9	129576791	C9orf50	LINC00963 - NTMT1	100506190	28989		63105	32093	rs10988428-G	rs10988428		10988428		1		8.0E-6	5.096910013008056		0.12	[0.07-0.17]	Affymetrix [~2.5 million] (Imputed)
	23934736	Yu B	2013-08-10	Genet Epidemiol	www.ncbi.nlm.nih.gov/pubmed/23934736	Genome-wide association study of a heart failure related metabolomic profile among African Americans in the Atherosclerosis Risk in Communities (ARIC) study.	Metabolite levels (Pyroglutamine)	1,260 African American individuals	NA	10p12.1	10	24935533	PRTFDC1	PRTFDC1			56952			rs11014306-C	rs11014306		11014306	intron	0		4.0E-6	5.3979400086720375		0.1	[0.06-0.14]	Affymetrix [~2.5 million] (Imputed)
	23934736	Yu B	2013-08-10	Genet Epidemiol	www.ncbi.nlm.nih.gov/pubmed/23934736	Genome-wide association study of a heart failure related metabolomic profile among African Americans in the Atherosclerosis Risk in Communities (ARIC) study.	Metabolite levels (Pyroglutamine)	1,260 African American individuals	NA	10q21.3	10	66206816	CTNNA3	CTNNA3			29119			rs12251332-C	rs12251332		12251332	intron	0		5.0E-8	7.301029995663981		0.17	[0.11-0.23]	Affymetrix [~2.5 million] (Imputed)
	23934736	Yu B	2013-08-10	Genet Epidemiol	www.ncbi.nlm.nih.gov/pubmed/23934736	Genome-wide association study of a heart failure related metabolomic profile among African Americans in the Atherosclerosis Risk in Communities (ARIC) study.	Metabolite levels (Pyroglutamine)	1,260 African American individuals	NA	4p15.32	4	17219610	LOC729006	MTND5P4 - RPS7P6	100873200	100270869		157445	208055	rs12643440-C	rs12643440		12643440		1		4.9999999999999996E-6	5.301029995663981		0.17	[-0.10-0.25]	Affymetrix [~2.5 million] (Imputed)
	23934736	Yu B	2013-08-10	Genet Epidemiol	www.ncbi.nlm.nih.gov/pubmed/23934736	Genome-wide association study of a heart failure related metabolomic profile among African Americans in the Atherosclerosis Risk in Communities (ARIC) study.	Metabolite levels (Pyroglutamine)	1,260 African American individuals	NA	13q33.3	13	107839244	FAM155A	FAM155A			728215			rs1509091-C	rs1509091		1509091	intron	0		3.0E-6	5.522878745280337		0.11	[0.06-0.15]	Affymetrix [~2.5 million] (Imputed)
	23934736	Yu B	2013-08-10	Genet Epidemiol	www.ncbi.nlm.nih.gov/pubmed/23934736	Genome-wide association study of a heart failure related metabolomic profile among African Americans in the Atherosclerosis Risk in Communities (ARIC) study.	Metabolite levels (Pyroglutamine)	1,260 African American individuals	NA	12p11.22	12	28662859	LOC100130792	RPL29P27 - FAR2	100130792	55711		97688	486144	rs1606355-A	rs1606355		1606355		1		2.0E-6	5.698970004336019		0.2	[0.12-0.28]	Affymetrix [~2.5 million] (Imputed)
	23934736	Yu B	2013-08-10	Genet Epidemiol	www.ncbi.nlm.nih.gov/pubmed/23934736	Genome-wide association study of a heart failure related metabolomic profile among African Americans in the Atherosclerosis Risk in Communities (ARIC) study.	Metabolite levels (Pyroglutamine)	1,260 African American individuals	NA	16q21	16	64601500	LOC729217	RPS15AP34 - CDH11	390735	1009		1250352	281391	rs16967753-C	rs16967753		16967753		1		1.0E-6	6.0		0.15	[0.09-0.21]	Affymetrix [~2.5 million] (Imputed)
	23934736	Yu B	2013-08-10	Genet Epidemiol	www.ncbi.nlm.nih.gov/pubmed/23934736	Genome-wide association study of a heart failure related metabolomic profile among African Americans in the Atherosclerosis Risk in Communities (ARIC) study.	Metabolite levels (Pyroglutamine)	1,260 African American individuals	NA	18p11.22	18	10321350	APCDD1	RNA5SP450 - LINC01254	100873695	101927350		397329	83783	rs206626-A	rs206626		206626		1		2.0E-6	5.698970004336019		0.13	[0.07-0.18]	Affymetrix [~2.5 million] (Imputed)
	23934736	Yu B	2013-08-10	Genet Epidemiol	www.ncbi.nlm.nih.gov/pubmed/23934736	Genome-wide association study of a heart failure related metabolomic profile among African Americans in the Atherosclerosis Risk in Communities (ARIC) study.	Metabolite levels (Pyroglutamine)	1,260 African American individuals	NA	15q21.2	15	52480826	MYO5A	MYO5A			4644			rs2222656-A	rs2222656		2222656	intron	0		2.0E-6	5.698970004336019		0.12	[0.07-0.17]	Affymetrix [~2.5 million] (Imputed)
	23934736	Yu B	2013-08-10	Genet Epidemiol	www.ncbi.nlm.nih.gov/pubmed/23934736	Genome-wide association study of a heart failure related metabolomic profile among African Americans in the Atherosclerosis Risk in Communities (ARIC) study.	Metabolite levels (Pyroglutamine)	1,260 African American individuals	NA	10q25.1	10	106738320	SORCS1	SORCS1			114815			rs2486152-A	rs2486152		2486152	intron	0		7.0E-6	5.154901959985743		0.1	[0.06-0.15]	Affymetrix [~2.5 million] (Imputed)
	23934736	Yu B	2013-08-10	Genet Epidemiol	www.ncbi.nlm.nih.gov/pubmed/23934736	Genome-wide association study of a heart failure related metabolomic profile among African Americans in the Atherosclerosis Risk in Communities (ARIC) study.	Metabolite levels (Pyroglutamine)	1,260 African American individuals	NA	17q21.32	17	47970290	CDK5RAP3	CDK5RAP3			80279			rs2597167-C	rs2597167		2597167	nearGene-5	0		6.0E-6	5.221848749616356		0.14	[0.08-0.2]	Affymetrix [~2.5 million] (Imputed)
	23934736	Yu B	2013-08-10	Genet Epidemiol	www.ncbi.nlm.nih.gov/pubmed/23934736	Genome-wide association study of a heart failure related metabolomic profile among African Americans in the Atherosclerosis Risk in Communities (ARIC) study.	Metabolite levels (Pyroglutamine)	1,260 African American individuals	NA	3q29	3	195017144	C3orf21	FAM43A - XXYLT1	131583	152002		328107	51135	rs2676917-G	rs2676917		2676917		1		7.0E-6	5.154901959985743		0.12	[0.07-0.17]	Affymetrix [~2.5 million] (Imputed)
	23934736	Yu B	2013-08-10	Genet Epidemiol	www.ncbi.nlm.nih.gov/pubmed/23934736	Genome-wide association study of a heart failure related metabolomic profile among African Americans in the Atherosclerosis Risk in Communities (ARIC) study.	Metabolite levels (Pyroglutamine)	1,260 African American individuals	NA	5p15.2	5	10701402	DAP	DAP			1611			rs3756407-A	rs3756407		3756407	intron	0		4.9999999999999996E-6	5.301029995663981		0.14	[0.2-0.08]	Affymetrix [~2.5 million] (Imputed)
	23934736	Yu B	2013-08-10	Genet Epidemiol	www.ncbi.nlm.nih.gov/pubmed/23934736	Genome-wide association study of a heart failure related metabolomic profile among African Americans in the Atherosclerosis Risk in Communities (ARIC) study.	Metabolite levels (Pyroglutamine)	1,260 African American individuals	NA	6p22.3	6	22709510	LOC389370	HDGFL1 - RPL6P18	154150	100131805		138989	393149	rs4712709-C	rs4712709		4712709		1		6.0E-6	5.221848749616356		0.1	[0.06-0.14]	Affymetrix [~2.5 million] (Imputed)
	23934736	Yu B	2013-08-10	Genet Epidemiol	www.ncbi.nlm.nih.gov/pubmed/23934736	Genome-wide association study of a heart failure related metabolomic profile among African Americans in the Atherosclerosis Risk in Communities (ARIC) study.	Metabolite levels (Pyroglutamine)	1,260 African American individuals	NA	17p11.2	17	16913229	LOC100129535	COTL1P1 - TBC1D27	27170	96597		57113	13279	rs4792793-C	rs4792793		4792793		1		4.0E-6	5.3979400086720375		0.12	[0.07-0.17]	Affymetrix [~2.5 million] (Imputed)
	23934736	Yu B	2013-08-10	Genet Epidemiol	www.ncbi.nlm.nih.gov/pubmed/23934736	Genome-wide association study of a heart failure related metabolomic profile among African Americans in the Atherosclerosis Risk in Communities (ARIC) study.	Metabolite levels (Pyroglutamine)	1,260 African American individuals	NA	7p21.3	7	8118257	ICA1	ICA1			3382			rs6463768-C	rs6463768		6463768	intron	0		1.0E-6	6.0		0.19	[0.11-0.27]	Affymetrix [~2.5 million] (Imputed)
	23934736	Yu B	2013-08-10	Genet Epidemiol	www.ncbi.nlm.nih.gov/pubmed/23934736	Genome-wide association study of a heart failure related metabolomic profile among African Americans in the Atherosclerosis Risk in Communities (ARIC) study.	Metabolite levels (Pyroglutamine)	1,260 African American individuals	NA	6q15	6	89589491	ANKRD6	ANKRD6			22881			rs6939321-C	rs6939321		6939321	intron	0		4.0E-6	5.3979400086720375		0.16	[0.09-0.23]	Affymetrix [~2.5 million] (Imputed)
	23934736	Yu B	2013-08-10	Genet Epidemiol	www.ncbi.nlm.nih.gov/pubmed/23934736	Genome-wide association study of a heart failure related metabolomic profile among African Americans in the Atherosclerosis Risk in Communities (ARIC) study.	Metabolite levels (Pyroglutamine)	1,260 African American individuals	NA	15q21.1	15	48305317	SLC12A1	SLC12A1 - DUT	6557	1854		1239	25850	rs964611-A	rs964611		964611		1		8.0E-6	5.096910013008056		0.15	[0.09-0.22]	Affymetrix [~2.5 million] (Imputed)
	23934736	Yu B	2013-08-10	Genet Epidemiol	www.ncbi.nlm.nih.gov/pubmed/23934736	Genome-wide association study of a heart failure related metabolomic profile among African Americans in the Atherosclerosis Risk in Communities (ARIC) study.	Metabolite levels  (X-11787)	1,260 African American individuals	NA	8q13.3	8	69768748	SLCO5A1	SLCO5A1			81796			rs10090896-A	rs10090896		10090896	intron	0		2.0E-6	5.698970004336019		0.04	[0.02-0.06]	Affymetrix [~2.5 million] (Imputed)
	23934736	Yu B	2013-08-10	Genet Epidemiol	www.ncbi.nlm.nih.gov/pubmed/23934736	Genome-wide association study of a heart failure related metabolomic profile among African Americans in the Atherosclerosis Risk in Communities (ARIC) study.	Metabolite levels  (X-11787)	1,260 African American individuals	NA	7p21.3	7	13400597	LOC100131022	RBMX2P4 - RPL26P21	100862677	646161		477677	471187	rs10255329-C	rs10255329		10255329		1		7.0E-6	5.154901959985743		0.06	[0.03-0.08]	Affymetrix [~2.5 million] (Imputed)
	23934736	Yu B	2013-08-10	Genet Epidemiol	www.ncbi.nlm.nih.gov/pubmed/23934736	Genome-wide association study of a heart failure related metabolomic profile among African Americans in the Atherosclerosis Risk in Communities (ARIC) study.	Metabolite levels  (X-11787)	1,260 African American individuals	NA	9p21.1	9	31419917	LOC138412	LINC01243 - HMGB3P23	101929620	100288563		38427	223428	rs10435736-C	rs10435736		10435736		1		4.0E-7	6.3979400086720375		0.05	[0.03-0.07]	Affymetrix [~2.5 million] (Imputed)
	23934736	Yu B	2013-08-10	Genet Epidemiol	www.ncbi.nlm.nih.gov/pubmed/23934736	Genome-wide association study of a heart failure related metabolomic profile among African Americans in the Atherosclerosis Risk in Communities (ARIC) study.	Metabolite levels  (X-11787)	1,260 African American individuals	NA	18q12.3	18	40640135	KC6	RPL17P45 - KC6	100271414	641516		495631	840136	rs10502739-C	rs10502739		10502739		1		8.0E-6	5.096910013008056		0.04	[0.02-0.06]	Affymetrix [~2.5 million] (Imputed)
	23934736	Yu B	2013-08-10	Genet Epidemiol	www.ncbi.nlm.nih.gov/pubmed/23934736	Genome-wide association study of a heart failure related metabolomic profile among African Americans in the Atherosclerosis Risk in Communities (ARIC) study.	Metabolite levels  (X-11787)	1,260 African American individuals	NA	8p12	8	30579335	GTF2E2	GTF2E2			2961			rs10503871-C	rs10503871		10503871	intron	0		3.0E-6	5.522878745280337		0.04	[0.02-0.05]	Affymetrix [~2.5 million] (Imputed)
	23934736	Yu B	2013-08-10	Genet Epidemiol	www.ncbi.nlm.nih.gov/pubmed/23934736	Genome-wide association study of a heart failure related metabolomic profile among African Americans in the Atherosclerosis Risk in Communities (ARIC) study.	Metabolite levels  (X-11787)	1,260 African American individuals	NA	9q33.2	9	121798574	DAB2IP	DAB2IP - TTLL11	153090	158135		13044	17100	rs10818593-C	rs10818593		10818593		1		9.0E-6	5.045757490560675		0.08	[0.04-0.11]	Affymetrix [~2.5 million] (Imputed)
	23934736	Yu B	2013-08-10	Genet Epidemiol	www.ncbi.nlm.nih.gov/pubmed/23934736	Genome-wide association study of a heart failure related metabolomic profile among African Americans in the Atherosclerosis Risk in Communities (ARIC) study.	Metabolite levels  (X-11787)	1,260 African American individuals	NA	5p12	5	43382756	CCL28	CCL28			56477			rs11951515-C	rs11951515		11951515	intron	0		4.0E-7	6.3979400086720375		0.04	[0.03-0.06]	Affymetrix [~2.5 million] (Imputed)
	23934736	Yu B	2013-08-10	Genet Epidemiol	www.ncbi.nlm.nih.gov/pubmed/23934736	Genome-wide association study of a heart failure related metabolomic profile among African Americans in the Atherosclerosis Risk in Communities (ARIC) study.	Metabolite levels  (X-11787)	1,260 African American individuals	NA	3p14.2	3	62615691	CADPS	CADPS			8618			rs1231831-C	rs1231831		1231831	intron	0		2.0E-6	5.698970004336019		0.05	[0.03-0.07]	Affymetrix [~2.5 million] (Imputed)
	23934736	Yu B	2013-08-10	Genet Epidemiol	www.ncbi.nlm.nih.gov/pubmed/23934736	Genome-wide association study of a heart failure related metabolomic profile among African Americans in the Atherosclerosis Risk in Communities (ARIC) study.	Metabolite levels  (X-11787)	1,260 African American individuals	NA	2p21	2	45977900	PRKCE	PRKCE			5581			rs13396424-G	rs13396424		13396424	intron	0		8.0E-6	5.096910013008056		0.08	[0.04-0.11]	Affymetrix [~2.5 million] (Imputed)
	23934736	Yu B	2013-08-10	Genet Epidemiol	www.ncbi.nlm.nih.gov/pubmed/23934736	Genome-wide association study of a heart failure related metabolomic profile among African Americans in the Atherosclerosis Risk in Communities (ARIC) study.	Metabolite levels  (X-11787)	1,260 African American individuals	NA	2p13.1	2	73641201	NAT8	NAT8			9027			rs13538-A	rs13538		13538	missense	0		2.0E-23	22.69897000433602		0.09	[0.07-0.10]	Affymetrix [~2.5 million] (Imputed)
	23934736	Yu B	2013-08-10	Genet Epidemiol	www.ncbi.nlm.nih.gov/pubmed/23934736	Genome-wide association study of a heart failure related metabolomic profile among African Americans in the Atherosclerosis Risk in Communities (ARIC) study.	Metabolite levels  (X-11787)	1,260 African American individuals	NA	20p12.1	20	13242211	C20orf82	ISM1			140862			rs1407335-A	rs1407335		1407335	intron	0		7.0E-6	5.154901959985743		0.04	[0.02-0.05]	Affymetrix [~2.5 million] (Imputed)
	23934736	Yu B	2013-08-10	Genet Epidemiol	www.ncbi.nlm.nih.gov/pubmed/23934736	Genome-wide association study of a heart failure related metabolomic profile among African Americans in the Atherosclerosis Risk in Communities (ARIC) study.	Metabolite levels  (X-11787)	1,260 African American individuals	NA	8p12	8	32282136	NRG1	NRG1			3084			rs1487141-C	rs1487141		1487141	intron	0		3.0E-6	5.522878745280337		0.04	[0.02-0.06]	Affymetrix [~2.5 million] (Imputed)
	23934736	Yu B	2013-08-10	Genet Epidemiol	www.ncbi.nlm.nih.gov/pubmed/23934736	Genome-wide association study of a heart failure related metabolomic profile among African Americans in the Atherosclerosis Risk in Communities (ARIC) study.	Metabolite levels  (X-11787)	1,260 African American individuals	NA	11q12.2	11	60545390	MS4A13	MS4A13 - LINC00301	503497	283197		2669	70361	rs1941027-C	rs1941027		1941027		1		4.0E-6	5.3979400086720375		0.04	[0.02-0.04]	Affymetrix [~2.5 million] (Imputed)
	23934736	Yu B	2013-08-10	Genet Epidemiol	www.ncbi.nlm.nih.gov/pubmed/23934736	Genome-wide association study of a heart failure related metabolomic profile among African Americans in the Atherosclerosis Risk in Communities (ARIC) study.	Metabolite levels  (X-11787)	1,260 African American individuals	NA	14q22.2	14	54257205	CDKN3	ATP5C1P1 - CDKN3	645560	1033		265182	139734	rs2143963-C	rs2143963		2143963		1		9.0E-6	5.045757490560675		0.07	[0.04-0.10]	Affymetrix [~2.5 million] (Imputed)
	23934736	Yu B	2013-08-10	Genet Epidemiol	www.ncbi.nlm.nih.gov/pubmed/23934736	Genome-wide association study of a heart failure related metabolomic profile among African Americans in the Atherosclerosis Risk in Communities (ARIC) study.	Metabolite levels  (X-11787)	1,260 African American individuals	NA	10q21.1	10	52582113	LOC399774	PRKRIRP3 - MBL2	399774	4153		168618	178747	rs2222800-A	rs2222800		2222800		1		4.0E-6	5.3979400086720375		0.04	[0.02-0.05]	Affymetrix [~2.5 million] (Imputed)
	23934736	Yu B	2013-08-10	Genet Epidemiol	www.ncbi.nlm.nih.gov/pubmed/23934736	Genome-wide association study of a heart failure related metabolomic profile among African Americans in the Atherosclerosis Risk in Communities (ARIC) study.	Metabolite levels  (X-11787)	1,260 African American individuals	NA	1p31.1	1	73617352	LRRIQ3	KRT8P21 - LRRIQ3	126811	127255		510868	408663	rs2341263-C	rs2341263		2341263		1		3.0E-6	5.522878745280337		0.04	[0.02-0.06]	Affymetrix [~2.5 million] (Imputed)
	23934736	Yu B	2013-08-10	Genet Epidemiol	www.ncbi.nlm.nih.gov/pubmed/23934736	Genome-wide association study of a heart failure related metabolomic profile among African Americans in the Atherosclerosis Risk in Communities (ARIC) study.	Metabolite levels  (X-11787)	1,260 African American individuals	NA	10q26.3	10	129436108	MGMT	LINC01163 - MGMT	101927381	4255		1118382	31082	rs2388328-C	rs2388328		2388328		1		4.9999999999999996E-6	5.301029995663981		0.07	[0.04-0.09]	Affymetrix [~2.5 million] (Imputed)
	23934736	Yu B	2013-08-10	Genet Epidemiol	www.ncbi.nlm.nih.gov/pubmed/23934736	Genome-wide association study of a heart failure related metabolomic profile among African Americans in the Atherosclerosis Risk in Communities (ARIC) study.	Metabolite levels  (X-11787)	1,260 African American individuals	NA	12q12	12	40852478	CNTN1	CNTN1			1272			rs312274-A	rs312274		312274	intron	0		4.0E-6	5.3979400086720375		0.05	[0.03-0.08]	Affymetrix [~2.5 million] (Imputed)
	23934736	Yu B	2013-08-10	Genet Epidemiol	www.ncbi.nlm.nih.gov/pubmed/23934736	Genome-wide association study of a heart failure related metabolomic profile among African Americans in the Atherosclerosis Risk in Communities (ARIC) study.	Metabolite levels  (X-11787)	1,260 African American individuals	NA	16p13.3	16	3135736	ZNF213	ZNF213, ZNF213-AS1	7760	100507458				rs560947-C	rs560947		560947	intron;nearGene-5	0		9.0E-6	5.045757490560675		0.04	[0.02-0.06]	Affymetrix [~2.5 million] (Imputed)
	23934736	Yu B	2013-08-10	Genet Epidemiol	www.ncbi.nlm.nih.gov/pubmed/23934736	Genome-wide association study of a heart failure related metabolomic profile among African Americans in the Atherosclerosis Risk in Communities (ARIC) study.	Metabolite levels  (X-11787)	1,260 African American individuals	NA	20p12.3	20	6394813	LOC149844	FGFR3P3 - CASC20	100462816	101929244		174068	31919	rs6085533-A	rs6085533		6085533		1		1.0E-6	6.0		0.04	[0.03-0.06]	Affymetrix [~2.5 million] (Imputed)
	23934736	Yu B	2013-08-10	Genet Epidemiol	www.ncbi.nlm.nih.gov/pubmed/23934736	Genome-wide association study of a heart failure related metabolomic profile among African Americans in the Atherosclerosis Risk in Communities (ARIC) study.	Metabolite levels  (X-11787)	1,260 African American individuals	NA	18q12.1	18	33418167	C18orf34	CCDC178			374864			rs6507022-C	rs6507022		6507022	intron	0		9.0E-6	5.045757490560675		0.04	[0.02-0.06]	Affymetrix [~2.5 million] (Imputed)
	23934736	Yu B	2013-08-10	Genet Epidemiol	www.ncbi.nlm.nih.gov/pubmed/23934736	Genome-wide association study of a heart failure related metabolomic profile among African Americans in the Atherosclerosis Risk in Communities (ARIC) study.	Metabolite levels  (X-11787)	1,260 African American individuals	NA	2p13.1	2	73610828	ALMS1	ALMS1-IT1 - NAT8	100874291	9027		151346	29895	rs6546857-A	rs6546857		6546857		1	0.477	1.0E-23	23.0		0.09	[0.07-0.10]	Affymetrix [~2.5 million] (Imputed)
	23934736	Yu B	2013-08-10	Genet Epidemiol	www.ncbi.nlm.nih.gov/pubmed/23934736	Genome-wide association study of a heart failure related metabolomic profile among African Americans in the Atherosclerosis Risk in Communities (ARIC) study.	Metabolite levels  (X-11787)	1,260 African American individuals	NA	1p31.1	1	81932860	LPHN2	ADGRL2			23266			rs6681544-C	rs6681544		6681544	intron	0		6.0E-6	5.221848749616356		0.04	[0.03-0.06]	Affymetrix [~2.5 million] (Imputed)
	23934736	Yu B	2013-08-10	Genet Epidemiol	www.ncbi.nlm.nih.gov/pubmed/23934736	Genome-wide association study of a heart failure related metabolomic profile among African Americans in the Atherosclerosis Risk in Communities (ARIC) study.	Metabolite levels  (X-11787)	1,260 African American individuals	NA	6q25.2	6	153913732	LOC729635	MTND4P13 - HMGB3P19	100862853	729635		243906	24728	rs6900489-C	rs6900489		6900489		1		4.9999999999999996E-6	5.301029995663981		0.06	[0.03-0.08]	Affymetrix [~2.5 million] (Imputed)
	23934736	Yu B	2013-08-10	Genet Epidemiol	www.ncbi.nlm.nih.gov/pubmed/23934736	Genome-wide association study of a heart failure related metabolomic profile among African Americans in the Atherosclerosis Risk in Communities (ARIC) study.	Metabolite levels  (X-11787)	1,260 African American individuals	NA	5q23.1	5	116204876	COMMD10	COMMD10			51397			rs7709377-A	rs7709377		7709377	intron	0		4.0E-6	5.3979400086720375		0.04	[0.02-0.06]	Affymetrix [~2.5 million] (Imputed)
	23934736	Yu B	2013-08-10	Genet Epidemiol	www.ncbi.nlm.nih.gov/pubmed/23934736	Genome-wide association study of a heart failure related metabolomic profile among African Americans in the Atherosclerosis Risk in Communities (ARIC) study.	Metabolite levels  (X-11787)	1,260 African American individuals	NA	8p12	8	29097375	KIF13B	KIF13B			23303			rs7844537-G	rs7844537		7844537	intron	0		6.0E-6	5.221848749616356		0.05	[0.03-0.07]	Affymetrix [~2.5 million] (Imputed)
	23934736	Yu B	2013-08-10	Genet Epidemiol	www.ncbi.nlm.nih.gov/pubmed/23934736	Genome-wide association study of a heart failure related metabolomic profile among African Americans in the Atherosclerosis Risk in Communities (ARIC) study.	Metabolite levels  (X-11787)	1,260 African American individuals	NA	20q13.33	20	61190239	CDH4	MIR548AG2 - CDH4	100616440	1002		625614	62187	rs860148-C	rs860148		860148		1		8.0E-6	5.096910013008056		0.04	[0.02-0.05]	Affymetrix [~2.5 million] (Imputed)
	23934736	Yu B	2013-08-10	Genet Epidemiol	www.ncbi.nlm.nih.gov/pubmed/23934736	Genome-wide association study of a heart failure related metabolomic profile among African Americans in the Atherosclerosis Risk in Communities (ARIC) study.	Metabolite levels  (X-11787)	1,260 African American individuals	NA	6q16.1	6	98448791	LOC100129158	EIF4EBP2P3 - POU3F2	100190924	5454		268951	385913	rs9321063-A	rs9321063		9321063		1		2.0E-6	5.698970004336019		0.07	[0.04-0.10]	Affymetrix [~2.5 million] (Imputed)
	23934736	Yu B	2013-08-10	Genet Epidemiol	www.ncbi.nlm.nih.gov/pubmed/23934736	Genome-wide association study of a heart failure related metabolomic profile among African Americans in the Atherosclerosis Risk in Communities (ARIC) study.	Metabolite levels  (X-11787)	1,260 African American individuals	NA	13q14.11	13	42017703	DGKH	RPS28P8 - DGKH	100271381	160851		14067	22333	rs9532969-C	rs9532969		9532969		1		3.0E-6	5.522878745280337		0.05	[0.03-0.06]	Affymetrix [~2.5 million] (Imputed)
	23934736	Yu B	2013-08-10	Genet Epidemiol	www.ncbi.nlm.nih.gov/pubmed/23934736	Genome-wide association study of a heart failure related metabolomic profile among African Americans in the Atherosclerosis Risk in Communities (ARIC) study.	Metabolite levels (Dihydroxy docosatrienoic acid)	1,260 African American individuals	NA	7q21.11	7	82485924	CACNA2D1	CACNA2D1 - MTHFD2P5	781	442707		42209	102846	rs10262537-C	rs10262537		10262537		1		7.0E-6	5.154901959985743		0.08	[0.04-0.11]	Affymetrix [~2.5 million] (Imputed)
	23934736	Yu B	2013-08-10	Genet Epidemiol	www.ncbi.nlm.nih.gov/pubmed/23934736	Genome-wide association study of a heart failure related metabolomic profile among African Americans in the Atherosclerosis Risk in Communities (ARIC) study.	Metabolite levels (Dihydroxy docosatrienoic acid)	1,260 African American individuals	NA	12q21.1	12	72769371	TRHDE	CHCHD3P2 - RPL31P48	100422354	645654		158053	879269	rs10879490-A	rs10879490		10879490		1		9.0E-6	5.045757490560675		0.14	[0.08-0.21]	Affymetrix [~2.5 million] (Imputed)
